iter	RMSE
0	635.4699107
1	570.0613037
2	534.3523994
3	491.9025081
4	461.1493586
5	433.5394609
6	412.9320841
7	395.3822009
8	376.4529662
9	361.9497246
10	353.7312543
11	343.2747331
12	336.0283412
13	327.2178678
14	319.1915359
15	310.8278227
16	304.8026105
17	299.602421
18	290.7951227
19	285.3790713
20	281.6307944
21	277.5914581
22	274.0431053
23	272.4711491
24	271.204862
25	270.3939475
26	266.7941443
27	264.5160316
28	260.9442125
29	259.795416
30	258.9275329
31	256.9443504
32	254.9099645
33	251.740771
34	251.0309631
35	250.3176141
36	246.9764908
37	246.0675383
38	245.167681
39	242.3308387
40	240.4609048
41	239.7934542
42	238.9282643
43	238.142897
44	236.3861152
45	235.7883344
46	232.51377
47	230.48809
48	229.9007978
49	227.8098427
50	225.2004327
51	224.6618628
52	224.1890567
53	223.7485354
54	221.9683729
55	220.7247708
56	219.816221
57	217.7378902
58	217.3485234
59	215.4674012
60	214.2473993
61	213.3040765
62	210.8657234
63	209.4621926
64	209.0461833
65	208.7160703
66	207.2811633
67	206.9745375
68	205.6575292
69	203.325896
70	202.5162248
71	202.2379439
72	201.5031247
73	201.188884
74	200.3323532
75	199.5629945
76	197.9783678
77	196.9385607
78	196.6776974
79	196.0852867
80	194.761306
81	193.9979826
82	193.7551801
83	193.5257119
84	193.3150788
85	192.804538
86	191.6834735
87	189.7862137
88	188.9876578
89	187.9705194
90	187.7648173
91	187.1959196
92	186.3094684
93	185.8104748
94	184.4144148
95	183.8356899
96	182.2271095
97	180.6406555
98	180.4495014
99	180.2656399
100	178.5973546
101	177.9142848
102	177.5551685
103	177.3465458
104	177.1768951
105	176.7731543
106	176.6005467
107	176.4416784
108	176.300868
109	176.160387
110	175.4486208
111	174.0761023
112	173.0173309
113	172.6097267
114	171.7374642
115	171.6021547
116	170.2569539
117	169.3041671
118	168.1463414
119	167.0528428
120	166.1912842
121	166.0619177
122	165.7009243
123	163.8266157
124	163.0501249
125	162.7329688
126	161.8509883
127	161.5972955
128	160.4662168
129	159.5109518
130	159.1671869
131	158.0374228
132	157.9120216
133	157.7908898
134	157.2108433
135	156.5931775
136	155.9065417
137	155.1597037
138	155.051607
139	154.6128971
140	154.3733192
141	153.4326762
142	152.9483359
143	152.8400426
144	152.2954473
145	152.131479
146	152.0349513
147	151.6823825
148	151.5410096
149	151.3885237
150	151.2900924
151	150.115641
152	149.8817599
153	149.4475326
154	148.7936901
155	148.7004183
156	148.2365279
157	148.1382154
158	147.6095629
159	147.500702
160	146.947821
161	146.5976146
162	145.8446434
163	145.3342176
164	145.1913808
165	144.2824082
166	144.2030838
167	143.4129598
168	143.0133466
